5	28	28
5	30	24
5	28	26
5	26	28
5	28	28
5	28	26
5	26	28
5	28	28
5	0	2
5	28	26
5	26	28
5	28	28
5	30	22
5	28	28
5	28	28
5	30	22
5	28	26
5	28	28
5	28	28
5	30	22
5	28	24
5	28	28
5	28	28
5	28	26
5	28	28
5	28	28
5	28	22
5	26	28
5	28	28
5	28	24
5	26	28
5	28	28
5	30	22
5	26	28
5	28	28
5	6	8
5	28	28
5	28	26
5	30	20
5	30	24
5	28	28
5	28	28
5	30	20
5	30	26
5	28	28
5	28	28
5	30	20
5	28	24
5	26	28
5	28	26
5	30	20
5	28	24
5	28	28
5	28	28
5	30	22
5	30	26
5	28	28
5	28	28
5	28	26
5	28	28
5	28	26
5	30	20
5	30	24
5	28	28
5	28	26
5	30	22
5	30	24
5	28	28
5	28	26
5	30	20
5	30	24
5	28	28
5	28	26
5	30	20
5	30	24
5	28	28
5	28	26
5	30	20
5	28	24
5	28	28
5	28	26
5	30	20
5	28	24
5	28	28
5	28	26
5	30	20
5	30	24
5	28	28
5	28	28
5	28	24
5	28	28
5	28	26
5	30	20
5	28	24
5	28	28
5	28	26
5	30	22
5	28	24
5	28	28
5	28	26
5	30	20
5	30	24
5	28	28
5	28	26
5	30	20
5	30	24
5	28	28
5	28	28
5	30	22
5	28	24
5	28	28
5	28	26
5	30	20
5	28	24
5	28	28
5	28	26
5	28	18
5	28	24
5	28	28
5	28	26
5	30	20
5	28	24
5	28	28
5	28	26
5	30	20
5	28	24
5	28	28
5	28	26
5	30	18
5	28	24
5	28	28
5	28	26
5	30	18
5	30	24
5	28	28
5	28	26
5	30	18
5	28	24
5	28	28
5	28	26
5	28	20
5	28	24
5	28	28
5	28	26
5	28	24
5	28	28
5	28	28
5	28	22
5	28	26
5	26	28
5	28	28
5	30	22
5	28	26
5	28	28
5	28	28
5	30	22
5	30	26
5	26	28
5	28	28
5	30	22
5	28	26
5	28	28
5	28	28
5	30	22
5	28	26
5	26	28
5	28	28
5	28	26
5	28	28
5	28	26
5	30	26
5	28	28
5	28	28
5	28	24
5	28	28
5	28	28
5	30	22
5	28	24
5	28	28
5	28	28
5	30	26
5	28	28
5	28	26
5	30	20
5	28	24
5	26	28
5	28	28
5	30	20
5	28	24
5	26	28
5	28	28
5	28	24
5	28	28
5	28	26
5	28	24
5	28	28
5	28	26
5	30	22
5	28	24
5	28	28
5	28	26
5	28	20
5	30	24
5	26	28
5	28	28
5	28	24
5	28	28
5	28	28
